The Tubki Resort	[1: ¬(Food & Drink_Restaurant; 1)=0.59 2: ¬(Media & Technology_Telephone; 1)=0.54 3: ¬(Living Area_Desk; 1)=0.51]
JP Chennai Hotel	[1: ¬(Food & Drink_Restaurant; 1)=0.69 2: ¬(General_Safety deposit box; 1)=0.66 3: ¬(General_Non-smoking rooms; 1)=0.57]
Hotel Ramakrishna	[1: ¬(General_Newspapers; 1)=0.64 2: ¬(General_Fan; 1)=0.6 3: ¬(Bathroom_Free toiletries; 1)=0.58]
The Majestic Suites, Kolkata	[1: ¬(property_type; 204)=0.8 2: ¬(Media & Technology_Telephone; 1)=0.59 3: ¬(Reception services_Tour desk; 1)=0.53]
The Legend	[1: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.66 2: ¬(Food & Drink_Bar; 1)=0.48 3: ¬(Activities_Fitness centre; 1)=0.45]
E Hotel	[1: ¬(Food & Drink_Restaurant; 1)=0.69 2: ¬(Cleaning services_Dry cleaning; 1)=0.55 3: ¬(General_Wake-up service; 1)=0.46]
Vista Rooms at Cassiopiea	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Bathroom_Shower; 1)=0.53]
Feelin Hotel	[1: ¬(Pets_Pets are not allowed.; 1)=0.93 2: ¬(General_Air conditioning; 1)=0.82 3: ¬(property_type; 204)=0.8]
Hotel White House	[1: ¬(Food & Drink_Restaurant; 1)=0.67 2: ¬(Bathroom_Shower; 1)=0.66 3: ¬(Living Area_Desk; 1)=0.46]
OYO Apartments Kammanahalli	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
OYO Rooms Ashiyana Park Aundh	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
